"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR5063","1. Seizure","United Arab Emirates","2011-11-01 00:00:00","1 American alligator head seized in Dubai","https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR50648","9. Enforcement Action / Prosecution","Canada","2023-07-18 00:00:00","3 convicted for smuggling bear gall bladders from North Brunswick to Quebec","https://www.canada.ca/en/environment-climate-change/news/2023/07/three-individuals-fined-a-total-of-34000-for-violating-federal-wildlife-legislation.html","Government Agency (Other)","","","","","","","Operation","Conviction - court fine","3","3","3","","34000","CAD Canadian Dollar","25773.1","",""
"MOR50675","1. Seizure","Mexico","2016-12-01 00:00:00","18 chameleons, hedgehogs, crocodiles, iguanas, turtles, birds & snakes seized in Cuilápam de Guerrero, Oaxaca","https://www.gob.mx/profepa/prensa/asegura-profepa-18-ejemplares-de-vida-silvestre-durante-operativo-en-tianguis-el-baratillo-de-cuilapam-de-guerrero-oaxaca?idiom=es","Government Report","","","","In Premises (either domestic or business)","","seized at market","Operation","Confiscation","","","","","","","","",""
"MOR50676","9. Enforcement Action / Prosecution","Mexico","2016-01-01 00:00:00","Rancho Bonito zoo, Tonala, Jalisco state facing sanctions for missing paperwork","https://www.gob.mx/profepa/prensa/asegura-profepa-18-ejemplares-de-vida-silvestre-en-zoologico-rancho-bonito-en-jalisco?idiom=es","Government Report","","","","In Premises (either domestic or business)","","","","Investigation ongoing","","","","","","","","",""
"MOR50677","1. Seizure","Mexico","2016-03-01 00:00:00","102 red cedar logs (19,672 m3) seized in Acapetahua, Chiapas state","https://www.gob.mx/profepa/prensa/asegura-profepa-19-672-m3-de-madera-en-rollo-de-la-especie-cedro-rojo-en-acapetahua-chiapas?idiom=es","Government Report","","","","","","","","Confiscation","","","","","","","","",""
"MOR50678","1. Seizure","Mexico","2017-02-01 00:00:00","200 sea cucumbers seized in Santa Rosalía, Mulegé, Baja California Sur state","https://www.gob.mx/profepa/prensa/asegura-profepa-200-ejemplares-de-pepino-de-mar-en-b-c-s?idiom=es","Government Report","","","","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR50679","1. Seizure","Mexico","2015-01-01 00:00:00","20 birds seized in Sonora Market, Mexico City - 1 arrested","https://www.gob.mx/profepa/prensa/asegura-profepa-20-aves-en-el-mercado-de-sonora-del-distrito-federal?idiom=es","Government Report","","","","In Premises (either domestic or business)","","found in market","Intelligence","Confiscation & arrest","1","","","","","","","",""
"MOR50680","1. Seizure","Mexico","2017-02-01 00:00:00","218 birds seized in along road in Nayarit State - 1 arrested","https://www.gob.mx/profepa/prensa/asegura-profepa-218-ejemplares-de-aves-silvestres-en-nayarit?idiom=es","Government Report","","","Land - Vehicle","Inside Vehicle","","","","Confiscation & arrest","1","","","","","","","",""
"MOR50681","1. Seizure","Maldives","2016-12-01 00:00:00","26 fox fur garments seized in Zapopan, Jalisco","https://www.gob.mx/profepa/prensa/asegura-profepa-26-articulos-elaborados-con-piel-de-zorro-en-zapopan-jalisco?idiom=es","Government Report","","","","In Premises (either domestic or business)","","","","Confiscation","","","","","","","","",""
"MOR50682","1. Seizure","Mexico","2016-06-01 00:00:00","17 turtles & 9 iguanas seized from market in Tuxtla Chico, Chiapas State","https://www.gob.mx/profepa/prensa/asegura-profepa-26-ejemplares-de-tortugas-casquito-e-iguanas-verdes-en-el-mercado-municipal-de-tuxtla-chico-chiapas?idiom=es","Government Report","","","","In Premises (either domestic or business)","","found in market","Routine Inspection","Confiscation","","","","","","","","",""
"MOR50701","1. Seizure","Mexico","2016-01-01 00:00:00","1 crocodile, 1 boa constrictor & 27 turtles seized from pet store in Sinaloa","https://www.gob.mx/profepa/prensa/asegura-profepa-29-ejemplares-de-vida-silvestre-culiacan-sinaloa?idiom=es","Government Report","","","","In Premises (either domestic or business)","","Found in pet shop","Intelligence","Confiscation","","","","","","","","",""
"MOR50703","1. Seizure","Mexico","2017-03-01 00:00:00","2 deers seized in Mérida municipality, Yucatan","https://www.gob.mx/profepa/prensa/asegura-profepa-2-venados-cola-blanca-a-particular-por-no-acreditar-su-legal-procedencia-en-yucatan?idiom=es","Government Report","","","","In Premises (either domestic or business)","","","Intelligence","Confiscation","","","","","","","","",""
"MOR50704","1. Seizure","Mexico","2015-05-01 00:00:00","31 crocodiles seized in Tecomán municipality, Colima","https://www.gob.mx/profepa/prensa/asegura-profepa-31-ejemplares-de-cocodrilo-a-uma-en-tecoman-colima?idiom=es","Government Report","","","","","","","","Confiscation","","","","","","","","",""
"MOR50705","1. Seizure","Mexico","2016-01-01 00:00:00","31 turtles seized in Mérida, Yucatán","https://www.gob.mx/profepa/prensa/asegura-profepa-31-tortugas-dulceacuicolas-en-posesion-de-particular-en-merida-yucatan?idiom=es","Customs","","","","In Premises (either domestic or business)","","","Intelligence","Confiscation","","","","","","","","",""
"MOR50712","1. Seizure","Maldives","2016-12-01 00:00:00","47 reptiles, 31 tarantulas & 17 peyotes seized in Mexico city","https://www.gob.mx/profepa/prensa/asegura-profepa-47-reptiles-31-tarantulas-y-17-peyotes-en-domicilio-de-la-ciudad-de-mexico?idiom=es","Government Report","","","","In Premises (either domestic or business)","","","","Confiscation","","","","","","","","",""
"MOR50733","1. Seizure","Maldives","2017-03-01 00:00:00","2 coyotes, 16 rabbits & 52 hares seized in San Luis Potosí","https://www.gob.mx/profepa/prensa/asegura-profepa-73-partes-y-derivados-de-coyotes-conejos-y-liebres-en-san-luis-potosi?idiom=es","Government Report","","","Land - Vehicle","Inside Vehicle","","transporting in five polyethylene sacks","","Confiscation","","","","","","","","",""
"MOR50759","1. Seizure","Mexico","2014-08-28 00:00:00","297 cactus pieces seized at Mexico City International Airport","https://www.gob.mx/profepa/prensa/asegura-profepa-embarque-de-peyote-en-aicm-con-destino-a-europa-y-asia?idiom=es","Government Report","","","Air","","","found across three different flights","","Confiscation","","","","","","","","",""
"MOR50760","1. Seizure","Mexico","2017-04-01 00:00:00","1 parrot & 1 parakeet seized in Pachuca, Hidalgo","https://www.gob.mx/profepa/prensa/asegura-profepa-en-hidalgo-un-loro-cachetes-amarillos-y-un-perico-pecho-sucio-por-posesion-ilegal?idiom=es","Government Report","","","","In Premises (either domestic or business)","","","Intelligence","Confiscation","","","","","","","","",""
"MOR50772","1. Seizure","Mexico","2016-11-01 00:00:00","4 birds seized in Santiago de Querétaro, Querétaro","https://www.gob.mx/profepa/prensa/asegura-profepa-en-queretaro-cuatro-aves-en-peligro-de-extincion?idiom=es","Government Report","","","","In Premises (either domestic or business)","","Found across two homes","Intelligence","Confiscation","","","","","","","","",""
"MOR50773","1. Seizure","Mexico","2017-04-01 00:00:00","13.5 kg deer parts seized in Sierra Montenegro Reserve, Morelos state - 1 arrested","https://www.gob.mx/profepa/prensa/asegura-profepa-partes-y-derivados-de-venado-cola-blanca-en-morelos?idiom=es","Government Report","","","Land - Vehicle","","","","","Confiscation & arrest","1","","","","","","","",""
"MOR50776","1. Seizure","Mexico","2017-01-01 00:00:00","241 bromeliads, 45 kg moss & other plant parts seized from market in Oaxaca","https://www.gob.mx/profepa/prensa/asegura-profepa-paxtle-y-bromelias-durante-operativo-en-oaxaca-de-juarez-oaxaca?idiom=es","Government Report","","","","In Premises (either domestic or business)","","found at market","","Confiscation","","","","","","","","",""
"MOR50777","1. Seizure","Mexico","2016-04-04 00:00:00","75 crab, fish, coral & eel seized from parcel in Nuevo Leon","https://www.gob.mx/profepa/prensa/asegura-profepa-peces-enviados-ilegalmente-por-paqueteria-de-morelos-a-nuevo-leon?idiom=es","Government Report","","","","In Postal Parcel (at postal depot or sorting office)","","in a styrofoam box, fish in bags of water","Routine Inspection","Confiscation","","","","","","","","",""
"MOR50779","1. Seizure","Mexico","2016-08-01 00:00:00","2 raccoons, 3 iguanas, 1 scorpion & 1 snake seized in San Luis Acatlán, San Luis Acatlán municipality, Guerrero","https://www.gob.mx/profepa/prensa/asegura-profepa-pieles-de-especies-de-vida-silvestre-protegidas-en-el-estado-de-guerrero?idiom=es","Government Report","","","","","","","","Confiscation","","","","","","","","",""
"MOR50780","1. Seizure","Mexico","2017-02-01 00:00:00","1 deer seized in La Paz, Baja California Sur","https://www.gob.mx/profepa/prensa/asegura-profepa-pieza-de-caza-consistente-en-un-venado-bura-en-la-paz-b-c-s?idiom=es","Government Report","","","Land - Vehicle","Inside Vehicle","","Had hunting permit","Operation","Confiscation","","","","","","","","",""
"MOR50791","1. Seizure","China","2019-06-01 00:00:00","3 ivory products (0.133 kg), 4 ostrich bone products (0.102 kg) & 2 mahogany products (1.031 kg) seized in Jinan","http://www.customs.gov.cn/customs/xwfb34/302425/2504284/index.html","Customs","","","","In Personal Baggage","","","","Confiscation","","","","","","","","",""
"MOR50876","9. Enforcement Action / Prosecution","United States of America","2023-08-16 00:00:00","3 DRC public officials sanctioned in U.S. for wildlife trafficking","https://www.state.gov/designation-of-democratic-republic-of-the-congo-drc-public-officials-for-significant-corruption/","Government Agency (Other)","https://www.occrp.org/en/daily/17947-congolese-officials-sanctioned-for-participating-in-wildlife-trafficking","","","","","","","No details given","","","","","","","","",""
"MOR5096","1. Seizure","United Arab Emirates","2012-04-01 00:00:00","UAE CITES Annual Report - Confiscated Species 2011-2012","https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR51081","1. Seizure","Brazil","2023-06-23 00:00:00","468 kg of fish seized at Rio de Janeiro–Antonio Carlos Jobim International Airport - 1 fined","https://www.gov.br/ibama/pt-br/assuntos/noticias/2023/ibama-e-receita-federal-apreendem-quase-meia-tonelada-de-pescado-irregular-no-aeroporto-do-galeao-rj","Government Agency (Other)","","","Air","In Freight (as on plane)","","","","Conviction - court fine","1","1","1","1","480000","BRL Brazilian Real","100253","",""
"MOR51151","9. Enforcement Action / Prosecution","South Africa","2023-07-24 00:00:00","2 convicted for reptile smuggling in South Africa","https://www.citizen.co.za/network-news/lnn/article/gauteng-couple-sentenced-for-facilitating-illegal-trade-in-reptiles-from-sa/","Media","","","","","","","Investigation","Conviction - court fine & imprisonment","2","2","1","1","1000000","ZAR South African Rand","56403.6","5","Years"
"MOR51625","1. Seizure","United States of America","2023-09-26 00:00:00","1 live margay cub & live 1 jaguar cub seized in Texas - 2 arrested","https://www.justice.gov/usao-sdtx/pr/undercover-jaguar-cub-deal-results-big-cat-act-charges","Government Agency (Other)","https://www.ice.gov/news/releases/undercover-jaguar-cub-deal-results-big-cat-act-charges-following-hsi-mcallen-federal","","Land - Vehicle","","","","Routine Inspection","Confiscation & arrest","2","","","","","","","",""
"MOR52229","1. Seizure","Canada","2023-07-17 00:00:00","8 sockeye salmon seized on Sproat Lake, BC","https://www.timescolonist.com/local-news/boat-salmon-seized-for-fishing-without-licence-on-sproat-lake-7317427??utm_source=twitter&utm_medium=organic&utm_campaign=snd","Media","","","","","","Fishermen did not have licences. ","","Confiscation","","","","","","","","",""
"MOR52230","1. Seizure","Canada","2023-06-13 00:00:00","5 live zebras seized in Saskatoon ","https://thestarphoenix.com/news/local-news/saskatoon-zoo-takes-in-zebra-herd-seized-from-rural-property?utm_medium=Social&utm_source=Twitter#Echobox=1687352605","Media","","","","In Premises (either domestic or business)","","Seized from a rural property.","Investigation","Confiscation","","","","","","","","",""
"MOR52231","1. Seizure","Canada","2023-02-26 00:00:00","Crocodile meat seized at Calgary International Airport - 1 fined","https://calgary.ctvnews.ca/man-caught-with-illegal-crocodile-meat-at-calgary-international-airport-1.6573699","Media","","","Air","In Personal Baggage","","","","Conviction - court fine","1","1","1","","7500","CAD Canadian Dollar","5472","",""
"MOR52232","9. Enforcement Action / Prosecution","Canada","2023-10-03 00:00:00","90,000 kg of eel meat smuggled in Markham, Ontario - 1 company and owner fined","https://www.northshoredailypost.com/eel-meat-worth-more-than-4-3-million-seized-in-ontario/","Media","","","","","","","","Conviction - court fine","","","","","250000","CAD Canadian Dollar","182407","",""
"MOR52233","9. Enforcement Action / Prosecution","Canada","2023-10-01 00:00:00","1 suspect arrested for trafficking bear parts in British Columbia","https://bc.ctvnews.ca/1-arrested-for-trafficking-black-bear-parts-in-b-c-s-lower-mainland-conservation-officers-say-1.6593596","Media","","","","","","","","Arrest","1","","","","","","","",""
"MOR52269","1. Seizure","United States of America","2023-10-01 00:00:00","90 totoaba swim bladders (50 kg) seized at at San Luis Port of Entry, Arizona","https://www.excelsior.com.mx/nacional/vaquita-marina-decomisan-garita-arizona-90-buches-totoaba/1614517?amp","Media","","","Sea","","","","","Confiscation","","","","","","","","",""
"MOR52667","2. Poaching / Illegal Harvesting","United States of America","2022-05-25 00:00:00","Illegal logging in Montana ","https://www.counterpunch.org/2022/05/26/federal-court-halts-illegal-logging-in-endangered-grizzly-habitat-in-nw-montana/","Media","","","","","","","","Investigation ongoing","","","","","","","","",""
